gpu_id,time_s,sm_active,sm_occupancy
0,0.000144,0.0,0.0
0,0.000150,0.0,0.0
0,0.000182,0.0,0.0
0,0.000185,0.0,0.0
0,0.000188,0.0,0.0
0,0.000205,0.0,0.0
0,0.000208,0.0,0.0
0,0.000210,0.0,0.0
0,0.086130,0.0,0.0
0,0.186432,0.0,0.0
0,0.286819,0.0,0.0
0,0.387146,0.0,0.0
0,0.487459,0.0,0.0
0,0.587785,0.0,0.0
0,0.688196,0.0,0.0
0,0.793526,0.0,0.0
0,0.894005,0.0,0.0
0,0.994430,0.0,0.0
0,1.094868,0.0,0.0
0,1.219403,0.0,0.0
0,1.319760,0.0,0.0
0,1.420257,0.0,0.0
0,1.520721,0.0,0.0
0,1.621135,0.0,0.0
0,1.721639,0.002,0.001
0,1.822123,0.006,0.0
0,1.922408,0.0,0.0
0,2.022817,0.0,0.0
0,2.123212,0.0,0.0
0,2.223776,0.0,0.0
0,2.324170,0.0,0.0
0,2.424619,0.0,0.0
0,2.524941,0.0,0.0
0,2.625417,0.0,0.0
0,2.725914,0.0,0.0
0,2.826454,0.0,0.0
0,2.927333,0.0,0.0
0,3.027792,0.0,0.0
0,3.128401,0.0,0.0
0,3.228960,0.0,0.0
0,3.329606,0.0,0.0
0,3.430082,0.0,0.0
1,0.000148,0.0,0.0
1,0.000180,0.0,0.0
1,0.000184,0.0,0.0
1,0.000187,0.0,0.0
1,0.000204,0.0,0.0
1,0.000206,0.0,0.0
1,0.000209,0.0,0.0
1,0.000269,0.0,0.0
1,0.086138,0.0,0.0
1,0.186443,0.0,0.0
1,0.286826,0.0,0.0
1,0.387156,0.0,0.0
1,0.487467,0.0,0.0
1,0.587791,0.0,0.0
1,0.688201,0.0,0.0
1,0.793537,0.0,0.0
1,0.894017,0.0,0.0
1,0.994441,0.0,0.0
1,1.094875,0.0,0.0
1,1.219407,0.0,0.0
1,1.319769,0.0,0.0
1,1.420268,0.0,0.0
1,1.520734,0.0,0.0
1,1.621146,0.0,0.0
1,1.721652,0.0,0.0
1,1.822133,0.002,0.001
1,1.922415,0.122,0.015
1,2.022828,0.135,0.016
1,2.123216,0.14,0.017
1,2.223790,0.135,0.016
1,2.324179,0.14,0.017
1,2.424628,0.08,0.01
1,2.524968,0.0,0.0
1,2.625422,0.0,0.0
1,2.725919,0.0,0.0
1,2.826459,0.0,0.0
1,2.927341,0.0,0.0
1,3.027797,0.0,0.0
1,3.128405,0.0,0.0
1,3.228966,0.0,0.0
1,3.329620,0.0,0.0
1,3.430087,0.0,0.0
