gpu_id,time_s,gpu_util,mem_util,mem_used_mb
0,0.000006,0,0,787.000
0,0.115201,0,0,787.000
0,0.215485,0,0,787.000
0,0.315621,0,0,787.000
0,0.415744,0,0,787.000
0,0.515879,0,0,787.000
0,0.622001,0,0,787.000
0,0.722128,0,0,787.000
0,0.826473,0,0,787.000
0,0.926636,0,0,787.000
0,1.026809,0,0,787.000
0,1.126959,0,0,787.000
0,1.238543,0,0,787.000
0,1.340228,0,0,803.500
0,1.441228,0,0,1290.312
0,1.541355,0,0,1290.312
0,1.641521,0,0,1704.312
0,1.741683,0,0,1704.312
0,1.841832,0,0,1704.312
0,1.942367,0,0,787.000
0,2.042554,0,0,787.000
0,2.142728,0,0,787.000
0,2.242917,0,0,787.000
0,2.343100,0,0,787.000
0,2.443242,0,0,787.000
0,2.543401,0,0,787.000
0,2.643909,0,0,787.000
0,2.744085,0,0,787.000
0,2.844304,0,0,787.000
0,2.944450,0,0,787.000
0,3.044591,0,0,787.000
0,3.144757,0,0,787.000
0,3.245226,0,0,787.000
0,3.345428,0,0,787.000
0,3.445657,0,0,787.000
0,3.546182,0,0,787.000
1,0.000006,0,0,641.562
1,0.115201,0,0,641.562
1,0.215485,0,0,641.562
1,0.315621,0,0,641.562
1,0.415744,0,0,641.562
1,0.515879,0,0,641.562
1,0.622001,0,0,641.562
1,0.722128,0,0,641.562
1,0.826473,0,0,641.562
1,0.926636,0,0,641.562
1,1.026809,0,0,641.562
1,1.126959,0,0,641.562
1,1.238543,0,0,641.562
1,1.340228,0,0,657.938
1,1.441228,0,0,1144.875
1,1.541355,0,0,1144.875
1,1.641521,0,0,1558.875
1,1.741683,0,0,1558.875
1,1.841832,0,0,1558.875
1,1.942367,0,0,1558.875
1,2.042554,0,0,1558.875
1,2.142728,0,0,1558.875
1,2.242917,0,0,1558.875
1,2.343100,0,0,1558.875
1,2.443242,7,6,641.562
1,2.543401,7,6,641.562
1,2.643909,7,6,641.562
1,2.744085,7,6,641.562
1,2.844304,7,6,641.562
1,2.944450,7,6,641.562
1,3.044591,7,6,641.562
1,3.144757,7,6,641.562
1,3.245226,7,6,641.562
1,3.345428,7,6,641.562
1,3.445657,0,0,641.562
1,3.546182,0,0,641.562
