gpu_id,time_s,sm_active,sm_occupancy
0,0.000191,0.0,0.0
0,0.000227,0.0,0.0
0,0.000250,0.0,0.0
0,0.000265,0.0,0.0
0,0.000279,0.0,0.0
0,0.000292,0.0,0.0
0,0.000305,0.0,0.0
0,0.000319,0.0,0.0
0,0.000331,0.0,0.0
0,0.088066,0.0,0.0
0,0.188437,0.0,0.0
0,0.288846,0.0,0.0
0,0.389229,0.0,0.0
0,0.489552,0.0,0.0
0,0.589994,0.0,0.0
0,0.696949,0.0,0.0
0,0.797502,0.0,0.0
0,0.897878,0.0,0.0
0,0.998266,0.0,0.0
0,1.098554,0.0,0.0
0,1.198818,0.0,0.0
0,1.327382,0.0,0.0
0,1.427616,0.0,0.0
0,1.527894,0.0,0.0
0,1.628141,0.0,0.0
0,1.728710,0.0,0.0
0,1.829266,0.061,0.022
0,1.929856,0.261,0.095
0,2.030378,0.214,0.078
0,2.130841,0.244,0.088
0,2.231459,0.261,0.095
0,2.332053,0.256,0.093
0,2.432566,0.202,0.073
0,2.533183,0.262,0.095
0,2.633711,0.262,0.095
0,2.733937,0.214,0.078
0,2.847587,0.178,0.065
0,2.947876,0.0,0.0
0,3.048164,0.0,0.0
0,3.148789,0.0,0.0
0,3.249320,0.0,0.0
0,3.349933,0.0,0.0
0,3.450462,0.0,0.0
0,3.550860,0.0,0.0
0,3.651468,0.0,0.0
0,3.751971,0.0,0.0
0,3.852444,0.0,0.0
0,3.953050,0.0,0.0
0,4.053582,0.0,0.0
0,4.154148,0.0,0.0
1,0.000210,0.0,0.0
1,0.000240,0.0,0.0
1,0.000258,0.0,0.0
1,0.000272,0.0,0.0
1,0.000285,0.0,0.0
1,0.000299,0.0,0.0
1,0.000312,0.0,0.0
1,0.000325,0.0,0.0
1,0.000339,0.0,0.0
1,0.088088,0.0,0.0
1,0.188454,0.0,0.0
1,0.288859,0.0,0.0
1,0.389244,0.0,0.0
1,0.489567,0.0,0.0
1,0.590008,0.0,0.0
1,0.696960,0.0,0.0
1,0.797519,0.0,0.0
1,0.897892,0.0,0.0
1,0.998278,0.0,0.0
1,1.098565,0.0,0.0
1,1.198827,0.0,0.0
1,1.327392,0.0,0.0
1,1.427624,0.0,0.0
1,1.527902,0.0,0.0
1,1.628149,0.0,0.0
1,1.728724,0.0,0.0
1,1.829284,0.0,0.0
1,1.929878,0.215,0.053
1,2.030395,0.239,0.06
1,2.130852,0.291,0.072
1,2.231477,0.289,0.072
1,2.332071,0.247,0.062
1,2.432584,0.281,0.07
1,2.533201,0.29,0.072
1,2.633732,0.252,0.063
1,2.733945,0.275,0.068
1,2.847597,0.294,0.073
1,2.947884,0.04,0.01
1,3.048172,0.0,0.0
1,3.148899,0.0,0.0
1,3.249331,0.0,0.0
1,3.349946,0.0,0.0
1,3.450473,0.0,0.0
1,3.550881,0.0,0.0
1,3.651510,0.0,0.0
1,3.751983,0.0,0.0
1,3.852454,0.0,0.0
1,3.953060,0.0,0.0
1,4.053592,0.0,0.0
